"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/list.csv?datainfo&rowcount&base_name=primates&show=ref"
"Access Time","Mon 2023-03-13 21:35:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","primates"
"","timerule","major"
"","taxon_status","all"
"","show","ref"
"Elapsed Time","0.00432"
"Records Found","2322"
"Records Returned","2322"
"Records:"
"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no","primary_reference"
"6643","spm","","176998","3217","16750","","holotype","","","m3","","1","","","Gunnell 1995b (type: Azuaga II Site 5; P4 < M3)","Cantius actius","species","44893","","Cantius actius","species","46924","46.2","40.4","1733","G. F. Gunnell. 1995. New notharctine (primates, adapiformes) skull from the Uintan (middle Eocene) of San Diego County, California. American Journal of Physical Anthropology 98:447-470"
"6993","spm","","166053","0","14978","","","","","M1","","2","","","Krause 1978 (Roche Percee: P4 < M3)","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","61.7","56.8","2156","D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15"
"6994","spm","","166053","0","14978","","","","","M2","","6","","","Krause 1978 (Roche Percee: P4 < M3)","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","61.7","56.8","2156","D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15"
"6995","spm","","166053","0","14978","","","","","M3","","2","","","Krause 1978 (Roche Percee: P4 < M3)","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","61.7","56.8","2156","D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15"
"6996","spm","","166053","0","14978","","","","","m2","","5","","","Krause 1978 (Roche Percee: P4 < M3)","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","61.7","56.8","2156","D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15"
"6997","spm","","166053","0","14978","","","","","m3","","3","","","Krause 1978 (Roche Percee: P4 < M3)","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","61.7","56.8","2156","D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15"
"6998","spm","N","0","0","","","","","","M1","","4","","","Bown and Rose 1976 (YPM/UW Gray Bull beds: P4 < M3)","Ignacius graybullianus","species","47354","","Ignacius graybullianus","species","47354","","","1120","T. M. Bown and K. D. Rose. 1976. New Early Tertiary Primates and a Reappraisal of some Plesiadapiformes. Folia Primatologica 26"
"6999","spm","N","0","0","","","","","","M2","","4","","","Bown and Rose 1976 (YPM/UW Gray Bull beds: P4 < M3)","Ignacius graybullianus","species","47354","","Ignacius graybullianus","species","47354","","","1120","T. M. Bown and K. D. Rose. 1976. New Early Tertiary Primates and a Reappraisal of some Plesiadapiformes. Folia Primatologica 26"
"7000","spm","N","0","0","","","","","","M3","","1","","","Bown and Rose 1976 (YPM/UW Gray Bull beds: P4 < M3)","Ignacius graybullianus","species","47354","","Ignacius graybullianus","species","47354","","","1120","T. M. Bown and K. D. Rose. 1976. New Early Tertiary Primates and a Reappraisal of some Plesiadapiformes. Folia Primatologica 26"
"7001","spm","N","0","0","","","","","","m2","","1","","","Bown and Rose 1976 (YPM/UW Gray Bull beds: P4 < M3)","Ignacius graybullianus","species","47354","","Ignacius graybullianus","species","47354","","","1120","T. M. Bown and K. D. Rose. 1976. New Early Tertiary Primates and a Reappraisal of some Plesiadapiformes. Folia Primatologica 26"
"7002","spm","N","0","0","","","","","","m3","","2","","","Bown and Rose 1976 (YPM/UW Gray Bull beds: P4 < M3)","Ignacius graybullianus","species","47354","","Ignacius graybullianus","species","47354","","","1120","T. M. Bown and K. D. Rose. 1976. New Early Tertiary Primates and a Reappraisal of some Plesiadapiformes. Folia Primatologica 26"
"7003","spm","","171515","0","15756","","","","","M1","","1","","","Rose and Gingerich 1976 (SC-54)","Ignacius graybullianus","species","47354","","Ignacius graybullianus","species","47354","55.8","50.3","2971","K. D. Rose and P. D. Gingerich. 1976. Partial Skull of the Plesiadapiform Primate Ignacius from the Early Eocene of Wyoming. Contributions from the Museum of Paleontology, University of Michigan 24(17):181-189"
"7004","spm","","171515","0","15756","","","","","M2","","1","","","Rose and Gingerich 1976 (SC-54)","Ignacius graybullianus","species","47354","","Ignacius graybullianus","species","47354","55.8","50.3","2971","K. D. Rose and P. D. Gingerich. 1976. Partial Skull of the Plesiadapiform Primate Ignacius from the Early Eocene of Wyoming. Contributions from the Museum of Paleontology, University of Michigan 24(17):181-189"
"7005","spm","","171515","0","15756","","","","","M3","","1","","","Rose and Gingerich 1976 (SC-54)","Ignacius graybullianus","species","47354","","Ignacius graybullianus","species","47354","55.8","50.3","2971","K. D. Rose and P. D. Gingerich. 1976. Partial Skull of the Plesiadapiform Primate Ignacius from the Early Eocene of Wyoming. Contributions from the Museum of Paleontology, University of Michigan 24(17):181-189"
"7033","spm","","168539","0","15436","","holotype","","","P4","","1","","","Beard 1988a (San Jose Formation: includes type; M3 < P4)","Jemezius szalayi","species","47419","","Jemezius szalayi","species","47419","55.8","50.3","1035","K. C. Beard. 1987. Jemezius, a new omomyid primate from the early Eocene of northwestern New Mexico. Journal of Human Evolution 16(6):457-468"
"7034","spm","","168539","0","15436","","holotype","","","M1","","1","","","Beard 1988a (San Jose Formation: includes type; M3 < P4)","Jemezius szalayi","species","47419","","Jemezius szalayi","species","47419","55.8","50.3","1035","K. C. Beard. 1987. Jemezius, a new omomyid primate from the early Eocene of northwestern New Mexico. Journal of Human Evolution 16(6):457-468"
"7035","spm","","168539","0","15436","","holotype","","","M2","","1","","","Beard 1988a (San Jose Formation: includes type; M3 < P4)","Jemezius szalayi","species","47419","","Jemezius szalayi","species","47419","55.8","50.3","1035","K. C. Beard. 1987. Jemezius, a new omomyid primate from the early Eocene of northwestern New Mexico. Journal of Human Evolution 16(6):457-468"
"7036","spm","","168539","0","15436","","holotype","","","p4","","1","","","Beard 1988a (San Jose Formation: includes type; M3 < P4)","Jemezius szalayi","species","47419","","Jemezius szalayi","species","47419","55.8","50.3","1035","K. C. Beard. 1987. Jemezius, a new omomyid primate from the early Eocene of northwestern New Mexico. Journal of Human Evolution 16(6):457-468"
"7037","spm","","168539","0","15436","","holotype","","","m2","","2","","","Beard 1988a (San Jose Formation: includes type; M3 < P4)","Jemezius szalayi","species","47419","","Jemezius szalayi","species","47419","55.8","50.3","1035","K. C. Beard. 1987. Jemezius, a new omomyid primate from the early Eocene of northwestern New Mexico. Journal of Human Evolution 16(6):457-468"
"7327","spm","N","0","0","","","","","","M1","","3","","","Robinson 1968a (Badwater: see also Krishtalka 1978)","Macrotarsius siegerti","species","47855","","Macrotarsius siegerti","species","47855","","","2923","P. Robinson. 1968. The paleontology and geology of the Badwater Creek area, central Wyoming. Annals of Carnegie Museum 39(19):307-326"
"7328","spm","N","0","0","","","","","","M2","","3","","","Robinson 1968a (Badwater: see also Krishtalka 1978)","Macrotarsius siegerti","species","47855","","Macrotarsius siegerti","species","47855","","","2923","P. Robinson. 1968. The paleontology and geology of the Badwater Creek area, central Wyoming. Annals of Carnegie Museum 39(19):307-326"
"7329","spm","N","0","0","","","","","","M3","","3","","","Robinson 1968a (Badwater: see also Krishtalka 1978)","Macrotarsius siegerti","species","47855","","Macrotarsius siegerti","species","47855","","","2923","P. Robinson. 1968. The paleontology and geology of the Badwater Creek area, central Wyoming. Annals of Carnegie Museum 39(19):307-326"
"7330","spm","","177725","0","16855","TMM 41578-9","holotype","","","M1","","1","table","","remeasured from Gunnell 1995b","Mahgarita stevensi","species","47857","","Mahgarita stevensi","species","47893","40.4","37.2","37090","E. C. Kirk and B. A. Williams. 2011. New adapiform primate of Old World affinities from the Devil’s Graveyard Formation of Texas. Journal of Human Evolution 61(2):156-168"
"7331","spm","","177725","0","16855","TMM 41578-9","holotype","","","M2","","1","table","","remeasured from Gunnell 1995b","Mahgarita stevensi","species","47857","","Mahgarita stevensi","species","47893","40.4","37.2","37090","E. C. Kirk and B. A. Williams. 2011. New adapiform primate of Old World affinities from the Devil’s Graveyard Formation of Texas. Journal of Human Evolution 61(2):156-168"
"7332","spm","","177725","0","16855","TMM 41578-9","holotype","","","M3","","1","table","","remeasured from Gunnell 1995b","Mahgarita stevensi","species","47857","","Mahgarita stevensi","species","47893","40.4","37.2","37090","E. C. Kirk and B. A. Williams. 2011. New adapiform primate of Old World affinities from the Devil’s Graveyard Formation of Texas. Journal of Human Evolution 61(2):156-168"
"7333","spm","","177725","0","16855","TMM 41578-8","","","","m3","","1","table","","remeasured from Gunnell 1995b","Mahgarita stevensi","species","47857","","Mahgarita stevensi","species","47893","40.4","37.2","37090","E. C. Kirk and B. A. Williams. 2011. New adapiform primate of Old World affinities from the Devil’s Graveyard Formation of Texas. Journal of Human Evolution 61(2):156-168"
"7375","spm","N","0","0","","","","","","M1","","2","","","Gunnell 1989 (Huerfano: P4 < M3)","Megadelphus lundeliusi","species","47998","","Megadelphus lundeliusi","species","45484","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7376","spm","N","0","0","","","","","","M2","","1","","","Gunnell 1989 (Huerfano: P4 < M3)","Megadelphus lundeliusi","species","47998","","Megadelphus lundeliusi","species","45484","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7377","spm","N","0","0","","","","","","M3","","3","","","Gunnell 1989 (Huerfano: P4 < M3)","Megadelphus lundeliusi","species","47998","","Megadelphus lundeliusi","species","45484","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7378","spm","N","0","0","","","","","","m2","","16","","","Gunnell 1989 (Huerfano: P4 < M3)","Megadelphus lundeliusi","species","47998","","Megadelphus lundeliusi","species","45484","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7379","spm","N","0","0","","","","","","m3","","7","","","Gunnell 1989 (Huerfano: P4 < M3)","Megadelphus lundeliusi","species","47998","","Megadelphus lundeliusi","species","45484","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7736","spm","","166163","0","14992","","holotype","","","M1","","1","","","Fox 1984d (Saxonella Locality: includes type; P4 < M3)","Micromomys fremdi","species","48517","recombined as","Foxomomys fremdi","species","48517","61.7","56.8","1529","R. C. Fox. 1984. The dentition and relationships of the Paleocene primate Micromomys Szalay, with description of a new species. Canadian Journal of Earth Sciences 21:1262-1267"
"7737","spm","","166163","0","14992","","holotype","","","M2","","1","","","Fox 1984d (Saxonella Locality: includes type; P4 < M3)","Micromomys fremdi","species","48517","recombined as","Foxomomys fremdi","species","48517","61.7","56.8","1529","R. C. Fox. 1984. The dentition and relationships of the Paleocene primate Micromomys Szalay, with description of a new species. Canadian Journal of Earth Sciences 21:1262-1267"
"7738","spm","","166163","0","14992","","holotype","","","M3","","1","","","Fox 1984d (Saxonella Locality: includes type; P4 < M3)","Micromomys fremdi","species","48517","recombined as","Foxomomys fremdi","species","48517","61.7","56.8","1529","R. C. Fox. 1984. The dentition and relationships of the Paleocene primate Micromomys Szalay, with description of a new species. Canadian Journal of Earth Sciences 21:1262-1267"
"7739","spm","","166163","0","14992","","holotype","","","m2","","3","","","Fox 1984d (Saxonella Locality: includes type; P4 < M3)","Micromomys fremdi","species","48517","recombined as","Foxomomys fremdi","species","48517","61.7","56.8","1529","R. C. Fox. 1984. The dentition and relationships of the Paleocene primate Micromomys Szalay, with description of a new species. Canadian Journal of Earth Sciences 21:1262-1267"
"7740","spm","","166163","0","14992","","holotype","","","m3","","3","","","Fox 1984d (Saxonella Locality: includes type; P4 < M3)","Micromomys fremdi","species","48517","recombined as","Foxomomys fremdi","species","48517","61.7","56.8","1529","R. C. Fox. 1984. The dentition and relationships of the Paleocene primate Micromomys Szalay, with description of a new species. Canadian Journal of Earth Sciences 21:1262-1267"
"7767","spm","N","0","0","","","","","","M1","","1","","","Gunnell 1985 (Clark's Fork Basin: repeated by Gunnell 1989; P4 < M3)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1728","G. F. Gunnell. 1985. Systematics of Early Eocene Microsyopinae (Mammalia, Primates) in the Clark's Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 27(2):51-71"
"7768","spm","N","0","0","","","","","","M2","","4","","","Gunnell 1985 (Clark's Fork Basin: repeated by Gunnell 1989; P4 < M3)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1728","G. F. Gunnell. 1985. Systematics of Early Eocene Microsyopinae (Mammalia, Primates) in the Clark's Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 27(2):51-71"
"7769","spm","N","0","0","","","","","","M3","","2","","","Gunnell 1985 (Clark's Fork Basin: repeated by Gunnell 1989; P4 < M3)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1728","G. F. Gunnell. 1985. Systematics of Early Eocene Microsyopinae (Mammalia, Primates) in the Clark's Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 27(2):51-71"
"7770","spm","N","0","0","","","","","","m2","","15","","","Gunnell 1985 (Clark's Fork Basin: repeated by Gunnell 1989; P4 < M3)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1728","G. F. Gunnell. 1985. Systematics of Early Eocene Microsyopinae (Mammalia, Primates) in the Clark's Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 27(2):51-71"
"7771","spm","N","0","0","","","","","","m3","","1","","","Gunnell 1985 (Clark's Fork Basin: repeated by Gunnell 1989; P4 < M3)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1728","G. F. Gunnell. 1985. Systematics of Early Eocene Microsyopinae (Mammalia, Primates) in the Clark's Fork Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 27(2):51-71"
"7772","spm","N","0","0","","","","","","M1","","1","","","Gunnell 1989 (USGS)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7773","spm","N","0","0","","","","","","M2","","1","","","Gunnell 1989 (USGS)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7774","spm","N","0","0","","","","","","M3","","2","","","Gunnell 1989 (USGS)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7775","spm","N","0","0","","","","","","m2","","2","","","Gunnell 1989 (USGS)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7776","spm","N","0","0","","","","","","m3","","1","","","Gunnell 1989 (USGS)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7777","spm","N","0","0","","","","","","M1","","29","","","Gunnell 1989 (UCMP)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7778","spm","N","0","0","","","","","","M2","","26","","","Gunnell 1989 (UCMP)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7779","spm","N","0","0","","","","","","M3","","8","","","Gunnell 1989 (UCMP)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7780","spm","N","0","0","","","","","","m2","","13","","","Gunnell 1989 (UCMP)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7781","spm","N","0","0","","","","","","m3","","20","","","Gunnell 1989 (UCMP)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7782","spm","N","0","0","","","","","","M1","","3","","","Gunnell 1989 (U Colorado: P4 < M3)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7783","spm","N","0","0","","","","","","M2","","1","","","Gunnell 1989 (U Colorado: P4 < M3)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7784","spm","N","0","0","","","","","","M3","","7","","","Gunnell 1989 (U Colorado: P4 < M3)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7785","spm","N","0","0","","","","","","m2","","7","","","Gunnell 1989 (U Colorado: P4 < M3)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7786","spm","N","0","0","","","","","","m3","","6","","","Gunnell 1989 (U Colorado: P4 < M3)","Microsyops angustidens","species","48547","","Microsyops angustidens","species","45481","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7787","spm","N","0","0","","A.M.N.H. No. 12049","","","","M1","","1","table","","","Microsyops annectens","species","48548","","Microsyops annectens","species","44474","","","3262","C. Stock. 1934. Microsyopsinae and Hyopsodontidae in the Sespe Upper Eocene, California. Proceedings of the National Academy of Sciences 20(6):349-354"
"7788","spm","N","0","0","","A.M.N.H. No. 12049","","","","M2","","1","table","","P4 not discussed","Microsyops annectens","species","48548","","Microsyops annectens","species","44474","","","3262","C. Stock. 1934. Microsyopsinae and Hyopsodontidae in the Sespe Upper Eocene, California. Proceedings of the National Academy of Sciences 20(6):349-354"
"7789","spm","N","0","0","","A.M.N.H. No. 12049","","","","M3","","1","table","","AMNH: P4 not discussed","Microsyops annectens","species","48548","","Microsyops annectens","species","44474","","","3262","C. Stock. 1934. Microsyopsinae and Hyopsodontidae in the Sespe Upper Eocene, California. Proceedings of the National Academy of Sciences 20(6):349-354"
"7790","spm","","173733","0","16137","","","","","M1","","10","","","Eaton 1982 (UW V-78001: P4 < M3)","Microsyops annectens","species","48548","","Microsyops annectens","species","44474","50.3","46.2","1404","J. G. Eaton. 1982. Paleontology and correlation of Eocene volcanic rocks in the Carter Mountain area, Park County, southeastern Absaroka Range, Wyoming. Contributions to Geology, University of Wyoming 21(2):153-194"
"7791","spm","","173733","0","16137","","","","","M2","","9","","","Eaton 1982 (UW V-78001: P4 < M3)","Microsyops annectens","species","48548","","Microsyops annectens","species","44474","50.3","46.2","1404","J. G. Eaton. 1982. Paleontology and correlation of Eocene volcanic rocks in the Carter Mountain area, Park County, southeastern Absaroka Range, Wyoming. Contributions to Geology, University of Wyoming 21(2):153-194"
"7792","spm","","173733","0","16137","","","","","M3","","8","","","Eaton 1982 (UW V-78001: P4 < M3)","Microsyops annectens","species","48548","","Microsyops annectens","species","44474","50.3","46.2","1404","J. G. Eaton. 1982. Paleontology and correlation of Eocene volcanic rocks in the Carter Mountain area, Park County, southeastern Absaroka Range, Wyoming. Contributions to Geology, University of Wyoming 21(2):153-194"
"7793","spm","","173733","0","16137","","","","","m2","","18","","","Eaton 1982 (UW V-78001: P4 < M3)","Microsyops annectens","species","48548","","Microsyops annectens","species","44474","50.3","46.2","1404","J. G. Eaton. 1982. Paleontology and correlation of Eocene volcanic rocks in the Carter Mountain area, Park County, southeastern Absaroka Range, Wyoming. Contributions to Geology, University of Wyoming 21(2):153-194"
"7794","spm","","173733","0","16137","","","","","m3","","5","","","Eaton 1982 (UW V-78001: P4 < M3)","Microsyops annectens","species","48548","","Microsyops annectens","species","44474","50.3","46.2","1404","J. G. Eaton. 1982. Paleontology and correlation of Eocene volcanic rocks in the Carter Mountain area, Park County, southeastern Absaroka Range, Wyoming. Contributions to Geology, University of Wyoming 21(2):153-194"
"7795","spm","N","0","0","","","","","","M1","","19","","","West 1973b (New Fork-Big Sandy)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","3596","R. M. West. 1973. Geology and mammalian paleontology of the New Fork-Big Sandy area, Sublette County, Wyoming. Fieldiana: Geology 29"
"7796","spm","N","0","0","","","","","","M2","","8","","","West 1973b (New Fork-Big Sandy)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","3596","R. M. West. 1973. Geology and mammalian paleontology of the New Fork-Big Sandy area, Sublette County, Wyoming. Fieldiana: Geology 29"
"7797","spm","N","0","0","","","","","","M3","","8","","","West 1973b (New Fork-Big Sandy)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","3596","R. M. West. 1973. Geology and mammalian paleontology of the New Fork-Big Sandy area, Sublette County, Wyoming. Fieldiana: Geology 29"
"7798","spm","N","0","0","","","","","","P4","","8","","","Gunnell 1989 (USNM: M3 < P4)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7799","spm","N","0","0","","","","","","M1","","12","","","Gunnell 1989 (USNM: M3 < P4)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7800","spm","N","0","0","","","","","","M2","","14","","","Gunnell 1989 (USNM: M3 < P4)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7801","spm","N","0","0","","","","","","p4","","27","","","Gunnell 1989 (USNM: M3 < P4)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7802","spm","N","0","0","","","","","","m2","","29","","","Gunnell 1989 (USNM: M3 < P4)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7803","spm","N","0","0","","","","","","M1","","1","","","Gunnell 1989 (AMNH: P4 < M3)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7804","spm","N","0","0","","","","","","M2","","4","","","Gunnell 1989 (AMNH: P4 < M3)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7805","spm","N","0","0","","","","","","M3","","3","","","Gunnell 1989 (AMNH: P4 < M3)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7806","spm","N","0","0","","","","","","m2","","14","","","Gunnell 1989 (AMNH: P4 < M3)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7807","spm","N","0","0","","","","","","m3","","6","","","Gunnell 1989 (AMNH: P4 < M3)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1730","G. F. Gunnell. 1989. Evolutionary History of Microsyopoidea (Mammalia, ?Primates) and the Relationship Between Plesiadapiformes and Primates. University of Michigan Papers on Paleontology 27:1-157"
"7808","spm","N","0","0","","","","","","M1","","3","","","Gunnell 1998c (Bridger A: P4 < M3)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1737","G. F. Gunnell. 1998. Mammalian Fauna From the Lower Bridger Formation (Bridger A, Early Middle Eocene) of the Southern Green River Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 30(3):83-130"
"7809","spm","N","0","0","","","","","","M2","","5","","","Gunnell 1998c (Bridger A: P4 < M3)","Microsyops elegans","species","48550","","Microsyops elegans","species","47707","","","1737","G. F. Gunnell. 1998. Mammalian Fauna From the Lower Bridger Formation (Bridger A, Early Middle Eocene) of the Southern Green River Basin, Wyoming. Contributions from the Museum of Paleontology, University of Michigan 30(3):83-130"
